,Name,/people/deceased_person/date_of_death,/people/person/gender,/people/person/age,/people/person/date_of_birth
94691,Meg Mazursky,2009-09-13,Female,[],1957-08-27 00:00:00
94701,Jesta Nielsen,1964,Female,[],1901-01-01 00:00:00
94722,Georgi Kishkilov,1999-06-21,Male,[],1932-03-11 00:00:00
94738,Liesel Valetti Roth,2004-12-28,Female,[],1914-11-14 00:00:00
94751,Mary O'Brien,2007-01-06,Female,[],1923-06-30 00:00:00
94752,Rolf Müller,1988-11-12,Male,[],1904-06-11 00:00:00
94753,Carl Balhaus,1968-07-30,Male,[],1905-11-04 00:00:00
94768,Emma Gad,1921-01-08,Female,[],1852-01-21 00:00:00
94769,Urban Gad,1920-04-06,Male,[],1841-12-20 00:00:00
94776,Charles Holland,1987-11-07,Male,[],1909-12-27 00:00:00
94777,Semyon Lungin,1996-01-29,Male,[],1920-01-12 00:00:00
94786,Tom Haine,1994-09-10,Male,[],1933-01-06 00:00:00
94847,Phillip Oakes,2005-12-18,Male,[],1928-01-31 00:00:00
94852,Gus Peterson,1969-12-17,Male,[],1893-07-19 00:00:00
94855,Angie Liberace,1996-11-22,Female,[],1914-12-11 00:00:00
94859,Gordon Scott,1991-04-02,Male,[],1920-01-03 00:00:00
94899,Timothy Roberts,2004-10-11,Male,[],1965-03-12 00:00:00
94902,Tom Clark,1995,Male,[],1933-01-01 00:00:00
94909,Stefan Osiecki,1977-05-07,Male,[],1902-11-23 00:00:00
94931,James Harrison,1986-06-24,Male,[],1891-07-01 00:00:00
94945,John Dunbar,2001-06-08,Male,[],1914-07-10 00:00:00
95036,Magda Lustigova,2008-02-21,Female,[],1921-06-24 00:00:00
95079,Val Burton,1981-11-09,Male,[],1901-02-22 00:00:00
95085,Robert Pittack,1976-05-05,Male,[],1899-09-19 00:00:00
95099,Elizabeth Carson Roach,1946-09-05,Female,[],1945-12-26 00:00:00
95118,Roger Eric Swardson,2003,Male,[],1934-01-01 00:00:00
95136,Domenico Rame,1948-09-19,Male,[],1885-04-29 00:00:00
95142,Rube Dalroy,1954-03-08,Male,[],1878-01-01 00:00:00
95224,Elisabeth Mann,1917,Male,[],1838-01-01 00:00:00
95225,John Mann,1844,Male,[],1842-01-01 00:00:00
95226,Friedrich Mann,1926-03-31,Male,[],1847-09-16 00:00:00
95227,Olga Marie Mann,1886,Female,[],1845-01-01 00:00:00
95231,Elizabeth Marty,1890,Female,[],1811-01-01 00:00:00
95232,Johann Siegmund Mann Jr.,1863,Male,[],1797-01-01 00:00:00
95243,Marie Kanová,1947,Female,[],1886-01-01 00:00:00
95244,Ksenia Khrushcheva,1945,Female,[],1872-01-01 00:00:00
95245,Leonie Henriette Maria Mann,1986-10-25,Female,[],1916-09-10 00:00:00
95257,Maria Nikolaevna Moskalenko,1980,Female,[],1888-01-01 00:00:00
95258,Paul Yakovlevich Korolyov,1929,Male,[],1877-01-01 00:00:00
95282,Lyudmila Alexeevna,1990,Female,[],1928-11-04 00:00:00
95289,Claudia Andreyevna Krivosheina,1967-05-01,Female,[],1908-01-01 00:00:00
95337,Alice Herdan-Zuckmayer,1991-03-11,Female,[],1901-04-04 00:00:00
95339,Rudolf Hamburger,1980,Male,[],1903-05-03 00:00:00
